"owner","name","commit_sha","repo_id"
"MozillaSecurity","funfuzz","e76f07be609ae41d464eb3372af60e8fa4e07fde","38723557"
"MozillaSecurity","grizzly","9fe18b9b9a1a28fe8f7101efd98a1868949f5d65","62264160"
"MozillaSecurity","lithium","341426b3ebc32e691ffb2d50dcaa786df8147e32","38723305"
"MyBook","zabbix-exporter","c5c70a2679ea77d9fc512f4feac3c6ce63021485","55702138"
"NCI-GDC","gdc-client","e84ad87ff4ea731be969fb6e7c0dcc3e62dc87dd","40255930"
"NICTA","revrand","4c1881b6c1772d2b988518e49dde954f165acfb6","35792686"
"NYTimes","collectd-rabbitmq","63822f67c6ebb992672541f3b2b3583c69d592ed","21172032"
"NYUCCL","psiTurk","bad1e5c70ab2a0b7f04a1a86f166ed2f998b607d","4845420"
"NabuCasa","hass-nabucasa","241994aa63a39c87c83773f04014d724f65f94ff","169500156"
"NaturalHistoryMuseum","pylibdmtx","755ae60cab9d3d2130fc0b96c616cfe6ddf4e3d1","72517983"
"NaturalHistoryMuseum","pyzbar","ff2892666fa7cd305f0a95f9808159809c6fc222","73167212"
"NerdWalletOSS","dynamorm","1270a85ae25a1cc4d1993bd64c752733c3e12072","60388650"
"Netflix","consoleme","049621786126f88054378c3a7612b23b7b0cccf2","221489076"
"Netflix","dispatch","f610b052e7135aa57e44048de9afcab30a34f07f","239569600"
"Netflix","metaflow-service","15cd9f7fa9d5df15d9fe7dac6a60667383c4fa6b","224924055"
"Netflix","stethoscope","33a35236ca3857ab2a50b622ca51f445a55170fb","78471512"
"Netflix","sureal","9f7f828c49e810ef00360f49e8b1785228f9ae51","118051278"
"Netflix-Skunkworks","cloudaux","39d1dc11ccd794f21d95d3d1458abd94425b0927","73504243"
"Netflix-Skunkworks","historical","1a16d4f0613f2466fa4033235e8e63028166fba3","100322134"
"Netflix-Skunkworks","jvmquake","f0823dcb8138043a5376e4821f1047a4ce3ec312","150554978"
"Netflix-Skunkworks","raven-python-lambda","640d5cfcef6e69ea685ca13469cfca71adf0e78c","98246067"
"Netflix-Skunkworks","riskquant","7321c880f4a3e13adb10c848199b52175d8d6999","232183414"
"Netflix-Skunkworks","swag-client","20f02f5547b6dd633806ec7d5f6dd7b22aad3760","80169674"
"Nexmo","nexmo-python","e4da747457c95c0dd3dfbcd86b0b0257042d01d5","289279749"
"Nobatek","flask-rest-api","82127373237670840b87f1f98a446729bf85b6cf","209860474"
"OCA","maintainer-tools","bde63eeb13a64561ef53bb9d609f6b9b87efd301","20999008"
"OISF","suricata-update","947a4ddd58f583ef5c2a0963bd242c411b89f280","109008451"
"OSInside","kiwi","59b52733657cc07356c3d1725e030b8384720aeb","47460440"
"OasisLMF","OasisLMF","8fa2783d6384624fed8c79f960fedc3905f43f96","117560568"
"Open-ASAPP","flambe","98f10f859fe9223fd2d1d76d430f77cdbddc0956","199525869"
"OpenGeoscience","geonotebook","a20a86909677ab02dc3e59c302f056ecb906b0e4","64249762"
"OpenIDC","pyoidc","bd510e49ebd6d8816e3ee94e62a3e86e907a0f8d","2747330"
"OpenKMIP","PyKMIP","c0c980395660ea1b1a8009e97f17ab32d1100233","22601443"
"OpenMined","PySyft","1c02ade6cc67161da56e3c3324a0aa9f4fb39a4e","97641933"
